text,label
METHOD=GET PATH=/tienda1/publico/registro.jsp QUERY=modo=registro&login=jaekoo&password=cUAdradurA&nombre=Idalina&apellidos=Tor&email=wackerhagen%40academiaversal.cat&dni=75996092K&direccion=Avda.+Andalucia%2C+94+9%3FH&ciudad=Art%E9s&cp=24450&provincia=%C1vila&ntc=0685161666311883&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=tuyetphu&pwd=8efer%E99dum&remember=on&B1=Entrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/anadir.jsp QUERY=id=3&nombre=Queso+Manchego&precio=39&cantidad=77&B1=A%F1adir+al+carrito PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=jcst&password=PAr%24EntAl&nombre=Josu&apellidos=Carrafa+Doral&email=jahns%40clubdecampo.com.mh&dni=79332852X&direccion=Plazuela+Fuente+De+Los+Patos+21%2C+&ciudad=Cellorigo&cp=47461&provincia=Castell%F3n&ntc=6508622053614944&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/registro.jsp QUERY=modo=registro&login=zielinsk4&password=rOSTradA&nombre=Melquiades&apellidos=Cebolla+Villablanca&email=popovic%40hostingprofessional.com.mil&dni=96579653P&direccion=Callejon+Conde+125%2C+&ciudad=Santa+Eug%E8nia&cp=26329&provincia=Zaragoza&ntc=9689984032459849&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/pagar.jsp QUERY=modo=insertar&precio=4031&B1=Confirmar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/pagar.jsp QUERY=modo=insertar&precio=2669&B1=Confirmar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=kondagun&password=CrIPToAN%E1LISIs&nombre=Marceliano&apellidos=Lafuente+Baracaldo&email=redd%40castigado.mv&dni=30697729C&direccion=Calle+Santo+Domingo%2C+142+12%3FB&ciudad=Cubillo+de+Uceda%2C+El&cp=06140&provincia=Girona&ntc=9377074508770290&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/pagar.jsp QUERY=modo=insertar&precio=8561&B1=Confirmar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/pagar.jsp QUERY=modo=insertar&precio=3673&B1=Confirmar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=doralynn&password=BaSt5d6R&nombre=Artemio&apellidos=Kucich+Graug%E9s&email=carlsson-bozonnet5%40tiendasyofertas.sz&dni=75985172A&direccion=C%2F+Sabugo%2C+157%2C+&ciudad=Ba%F1os+de+Montemayor&cp=22270&provincia=Ourense&ntc=9993400463811014&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=danjean8&pwd=sen64&remember=on&B1=Entrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/registro.jsp QUERY=modo=registro&login=nagendra&password=a%2Bhurragada&nombre=Biblis&apellidos=Visen+Rubies&email=olsson.kupfer%40arroyo-molinos.mz&dni=29431559T&direccion=Calle+Vallehermoso+17+13%3FF&ciudad=Fuente+%C1lamo+de+Murcia&cp=48213&provincia=Barcelona&ntc=0403100509379312&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=sitar&pwd=fonograma&remember=off&B1=Entrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=klavkaln&password=supporT&nombre=Roc%EDo+Azul&apellidos=M%E1smela+Bonjorn&email=thiaka%40madscience.com.jp&dni=18270534R&direccion=Sampiro+199%2C+2%3FE&ciudad=Lasarte-Oria&cp=37217&provincia=Zamora&ntc=5760216761387578&B1=Registrar PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=penrose&pwd=su771ior&remember=on&B1=Entrar PROTOCOL=HTTP/1.1,benign
